Entry	AlphaFoldDB	PDB	Ensembl	EnsemblBacteria	EnsemblFungi	EnsemblProtists
O15479	O15479;		ENST00000378988.5;			
O15481	O15481;		ENST00000378982.4;			
O15484	O15484;	6P3Q;	ENST00000529629.5;ENST00000531028.2;ENST00000648180.1;			
O15488	O15488;	4UEG;	ENST00000353656.10 [O15488-4];ENST00000381163.7 [O15488-1];ENST00000398806.8 [O15488-2];			
O15492	O15492;	2BT2;2IK8;	ENST00000367558.6;			
O15496	O15496;	1LE6;1LE7;4UY1;5G3M;5OW8;5OWC;6G5J;	ENST00000438167.8;ENST00000621727.2;			
O15498	O15498;	6J74;6J7F;6J7X;	ENST00000223369.3 [O15498-1];ENST00000496112.5 [O15498-2];ENST00000679020.1 [O15498-1];			
O15499	O15499;		ENST00000086933.3;			
O15503	O15503;	4J81;	ENST00000340368.9 [O15503-1];ENST00000342407.5 [O15503-2];			
O15504	O15504;	6B4F;6B4I;6B4J;	ENST00000258742.10 [O15504-1];ENST00000438012.5 [O15504-2];			
O15511	O15511;	6UHC;6YW7;	ENST00000294742.6 [O15511-2];ENST00000359856.11 [O15511-1];			
O15514	O15514;	2C35;5IY6;5IY7;5IY8;5IY9;5IYA;5IYB;5IYC;5IYD;6DRD;6O9L;6XRE;7LBM;	ENST00000272645.9;			
O15516	O15516;	4H10;6QPJ;	ENST00000309964.8;ENST00000381322.5;ENST00000513440.6;			
O15519	O15519;	2N5R;3H11;3H13;6M6O;7DEE;7LXC;8YBX;8YD7;8YD8;	ENST00000309955.8 [O15519-1];ENST00000341222.10 [O15519-2];ENST00000341582.10 [O15519-8];ENST00000342795.9 [O15519-12];ENST00000423241.6 [O15519-1];ENST00000440180.5 [O15519-2];ENST00000443227.5 [O15519-15];ENST00000457277.5 [O15519-11];ENST00000479953.6 [O15519-3];			
O15520	O15520;	1NUN;	ENST00000264664.5;			
O15522	O15522;		ENST00000258829.6;			
O15523	O15523;		ENST00000336079.8 [O15523-1];ENST00000360160.8 [O15523-1];			
O15524	O15524;		ENST00000332029.4;ENST00000644787.1;			
O15525	O15525;	7X5E;7X5F;7X5G;	ENST00000357736.9;ENST00000392366.7;			
O15527	O15527;	1EBM;1FN7;1HU0;1KO9;1LWV;1LWW;1LWY;1M3H;1M3Q;1N39;1N3A;1N3C;1YQK;1YQL;1YQM;1YQR;2I5W;2NOB;2NOE;2NOF;2NOH;2NOI;2NOL;2NOZ;2XHI;3IH7;3KTU;5AN4;6RLW;6W0M;6W0R;6W13;7AYY;8VX4;8VX6;	ENST00000302003.11 [O15527-3];ENST00000302008.12 [O15527-7];ENST00000302036.12 [O15527-4];ENST00000339511.9 [O15527-2];ENST00000344629.12 [O15527-1];ENST00000352937.6 [O15527-5];ENST00000383826.9 [O15527-6];ENST00000449570.6 [O15527-8];			
O15528	O15528;		ENST00000228606.9;			
O15529	O15529;		ENST00000454971.3;ENST00000597214.1;			
O15530	O15530;	1H1W;1OKY;1OKZ;1UU3;1UU7;1UU8;1UU9;1UVR;1W1D;1W1G;1W1H;1Z5M;2BIY;2PE0;2PE1;2PE2;2R7B;2VKI;2XCH;2XCK;3H9O;3HRC;3HRF;3ION;3IOP;3NAX;3NAY;3NUN;3NUS;3NUU;3NUY;3ORX;3ORZ;3OTU;3PWY;3QC4;3QCQ;3QCS;3QCX;3QCY;3QD0;3QD3;3QD4;3RCJ;3RWP;3RWQ;3SC1;4A06;4A07;4AW0;4AW1;4CT1;4CT2;4RQK;4RQV;4RRV;4XX9;5ACK;5HKM;5HNG;5HO7;5HO8;5LVL;5LVM;5LVN;5LVO;5LVP;5MRD;6WJQ;8DQT;	ENST00000268673.12 [O15530-4];ENST00000342085.9 [O15530-1];ENST00000441549.7 [O15530-5];			
O15533	O15533;	3F8U;6ENY;7QNG;7QPD;7TUE;7TUF;7TUG;	ENST00000374572.7;ENST00000383065.8 [O15533-3];ENST00000383066.8 [O15533-1];ENST00000383197.8;ENST00000383198.6;ENST00000395114.7;ENST00000417059.5;ENST00000426633.6 [O15533-3];ENST00000434618.7 [O15533-1];ENST00000456807.6;ENST00000489157.6 [O15533-4];ENST00000551943.3 [O15533-4];ENST00000699659.1 [O15533-3];			
O15534	O15534;		ENST00000317276.9 [O15534-1];ENST00000354903.9 [O15534-4];			
O15535	O15535;		ENST00000252207.10 [O15535-1];ENST00000425468.6 [O15535-2];ENST00000531979.5 [O15535-1];			
O15537	O15537;	3JD6;5N6W;	ENST00000379984.4;			
O15540	O15540;	1FDQ;1FE3;1JJX;5URA;6L9O;7E25;8IVF;8IVL;	ENST00000356535.4 [O15540-2];ENST00000368444.8 [O15540-1];			
O15541	O15541;	5Z56;5Z58;6FF4;6FF7;7DVQ;7QTT;8CH6;8I0R;8I0S;8I0T;8I0U;	ENST00000371442.4;			
O15547	O15547;		ENST00000401443.5 [O15547-2];ENST00000413302.7 [O15547-1];			
O15550	O15550;	3AVR;3AVS;6FUK;6FUL;	ENST00000377967.9;			
O15551	O15551;		ENST00000395145.3;			
O15552	O15552;	8J22;8J23;8J24;8T3S;	ENST00000246549.2;ENST00000599180.3;			
O15553	O15553;	2MPC;2WL1;4CG4;8C28;8C2Y;8C30;8SDJ;	ENST00000219596.6 [O15553-2];ENST00000536379.5 [O15553-1];ENST00000541159.5 [O15553-3];			
O15554	O15554;	6CNM;6CNN;6CNO;6D42;	ENST00000648319.1;			
O42043	O42043;					
O43143	O43143;	5XDR;6ID1;6SH6;6SH7;8EJM;8RO2;	ENST00000336812.5;			
O43147	O43147;		ENST00000268989.8 [O43147-2];ENST00000426855.6 [O43147-1];ENST00000574563.5 [O43147-5];			
O43148	O43148;	3BGV;3EPP;5E8J;5E9J;5E9W;8Q69;8Q8G;8Q9W;	ENST00000262173.7 [O43148-1];ENST00000383314.7 [O43148-1];ENST00000543302.6 [O43148-1];ENST00000589866.5 [O43148-1];ENST00000592764.5 [O43148-2];			
O43149			ENST00000381638.7 [O43149-1];			
O43150	O43150;		ENST00000281419.8 [O43150-1];ENST00000315273.4 [O43150-2];			
O43151	O43151;	4Z3C;8U2Y;	ENST00000409262.8 [O43151-1];			
O43155	O43155;		ENST00000330753.6;ENST00000554746.1;ENST00000682132.1;ENST00000683129.1;			
O43156	O43156;	7F4U;7OLE;	ENST00000373447.8;ENST00000373448.6;ENST00000449821.1;			
O43157	O43157;	2JPH;2OS6;2R2O;2REX;3HM6;3OL2;3SU8;3SUA;5B4W;7VF3;7VG7;8B3K;	ENST00000296440.11 [O43157-1];ENST00000358536.8 [O43157-1];ENST00000449094.5 [O43157-3];ENST00000456774.5 [O43157-2];			
O43159	O43159;	2ZFU;	ENST00000254605.11;			
O43164	O43164;		ENST00000361189.7 [O43164-1];ENST00000361557.4 [O43164-1];			
O43166	O43166;		ENST00000358550.6 [O43166-3];ENST00000381232.8 [O43166-2];ENST00000555818.5 [O43166-1];			
O43167	O43167;		ENST00000230122.4 [O43167-1];ENST00000698516.1 [O43167-1];			
O43169	O43169;	3NER;	ENST00000307892.13;			
O43172	O43172;	1MZW;3JCR;5O9Z;6AH0;6AHD;6QW6;6QX9;8H6E;8H6J;8H6K;8H6L;8Q7N;8QO9;8QOZ;8QPA;8QPB;8QPE;8QXD;8QZS;8R08;8R09;8R0A;8R0B;8RM5;8Y6O;	ENST00000374198.5 [O43172-2];ENST00000374199.9 [O43172-1];			
O43173	O43173;	5BO6;5BO7;5BO8;5BO9;5CXY;	ENST00000324000.4;			
O43174	O43174;		ENST00000224356.5 [O43174-1];ENST00000371531.5 [O43174-2];			
O43175	O43175;	2G76;5N53;5N6C;5NZO;5NZP;5NZQ;5OFM;5OFV;5OFW;6CWA;6PLF;6PLG;6RIH;6RJ2;6RJ3;6RJ5;6RJ6;7CVP;7DKM;7EWH;7VA1;	ENST00000641023.2;ENST00000641597.1;			
O43181	O43181;	5XTB;5XTD;5XTH;5XTI;	ENST00000296684.10;			
O43182	O43182;		ENST00000303025.10 [O43182-4];ENST00000337414.9 [O43182-1];ENST00000380718.1 [O43182-2];ENST00000380736.5 [O43182-4];ENST00000495242.5 [O43182-3];			
O43184	O43184;		ENST00000368676.8 [O43184-2];ENST00000368679.8 [O43184-1];			
O43186	O43186;	9B8U;	ENST00000221996.12;			
O43187	O43187;	3MOP;	ENST00000256458.5;			
O43189	O43189;	2E5P;2M0O;4HCZ;5XFN;5XFO;5XFP;6WAT;6WAV;7LKY;8H43;	ENST00000374512.7 [O43189-2];ENST00000374516.8 [O43189-1];ENST00000427869.6;ENST00000454914.6;			
O43193	O43193;	8IBU;8IBV;	ENST00000218721.1 [O43193-1];			
O43194	O43194;		ENST00000329321.4;			
O43196	O43196;		ENST00000375703.7 [O43196-2];ENST00000375740.7 [O43196-4];ENST00000375750.9 [O43196-1];ENST00000375755.8 [O43196-1];ENST00000412070.5;ENST00000416549.5 [O43196-1];ENST00000419269.5 [O43196-2];ENST00000420731.5;ENST00000427735.5 [O43196-1];ENST00000435700.5 [O43196-2];ENST00000436091.5;ENST00000436192.6 [O43196-2];ENST00000441395.5 [O43196-1];ENST00000441401.6 [O43196-1];ENST00000448617.6 [O43196-4];ENST00000456839.6 [O43196-1];ENST00000457742.6 [O43196-1];			
O43236	O43236;	6WB3;	ENST00000317256.10 [O43236-2];ENST00000317268.7 [O43236-1];ENST00000321691.3 [O43236-8];ENST00000393086.5 [O43236-2];ENST00000412945.7 [O43236-3];ENST00000426861.5 [O43236-6];ENST00000457347.6 [O43236-4];ENST00000583114.5 [O43236-5];ENST00000672673.2 [O43236-7];ENST00000672699.1 [O43236-4];			
O43237	O43237;	6F1T;6F1Y;6F38;6F3A;7Z8F;7Z8I;7Z8J;7Z8K;7Z8L;8PR0;8PR1;8PR2;8PR3;8PTK;	ENST00000258198.7 [O43237-1];ENST00000443351.6 [O43237-2];			
O43240	O43240;	5LPE;5LPF;	ENST00000309958.7;ENST00000358789.8;ENST00000391805.5;			
O43242	O43242;	5GJQ;5GJR;5L4K;5LN3;5M32;5T0C;5T0G;5T0H;5T0I;5T0J;5VFP;5VFQ;5VFR;5VFS;5VFT;5VFU;5VGZ;5VHF;5VHH;5VHI;5VHS;6MSB;6MSD;6MSE;6MSG;6MSH;6MSJ;6MSK;6WJD;6WJN;7QXN;7QXP;7QXU;7QXW;7QXX;7QY7;7QYA;7QYB;7W37;7W38;7W39;7W3A;7W3B;7W3C;7W3F;7W3G;7W3H;7W3I;7W3J;7W3K;7W3M;8CVT;	ENST00000264639.9 [O43242-1];			
O43248	O43248;		ENST00000546378.1;			
O43251	O43251;	2CQ3;	ENST00000262829.11 [O43251-3];ENST00000405409.6 [O43251-9];ENST00000414461.6 [O43251-4];ENST00000416721.6 [O43251-5];ENST00000438146.7 [O43251-8];ENST00000449924.6 [O43251-10];ENST00000618140.3 [O43251-9];ENST00000619768.4 [O43251-10];ENST00000626107.2 [O43251-4];ENST00000627946.2 [O43251-5];ENST00000631365.2 [O43251-3];			
O43252	O43252;	1X6V;1XJQ;1XNJ;2OFW;2OFX;2PEY;2PEZ;2QJF;8I1M;	ENST00000265174.5;			
O43255	O43255;	5H9M;	ENST00000312960.4;			
O43257	O43257;	8X15;8X19;8X1C;	ENST00000305105.3;			
O43264	O43264;	7QPG;	ENST00000200135.8 [O43264-1];ENST00000535142.5 [O43264-2];			
O43272	O43272;		ENST00000334029.6 [O43272-2];ENST00000357068.11 [O43272-4];ENST00000420436.5 [O43272-2];ENST00000610940.4 [O43272-4];			
O43278	O43278;	1YC0;2MSX;4ISL;4ISN;4ISO;5EZD;5H7V;	ENST00000344051.8 [O43278-1];ENST00000562057.6 [O43278-2];			
O43280	O43280;		ENST00000264029.9 [O43280-1];ENST00000397925.2 [O43280-2];			
O43281	O43281;		ENST00000216733.8 [O43281-1];ENST00000351354.3 [O43281-2];ENST00000429593.6 [O43281-3];			
O43283	O43283;		ENST00000265026.8 [O43283-1];ENST00000424227.5 [O43283-1];ENST00000433092.5 [O43283-6];ENST00000438053.5 [O43283-3];ENST00000443863.5 [O43283-4];ENST00000446828.5 [O43283-5];			
O43286	O43286;		ENST00000371711.4;			
O43290	O43290;	4PYU;5O9Z;6AHD;6QW6;6QX9;8H6E;8H6J;8H6K;8H6L;8Q7N;8QO9;8QOZ;8QP8;8QP9;8QPA;8QPB;8QPE;8QPK;8QXD;8QZS;8R08;8R09;8R0A;8R0B;8RM5;8Y6O;	ENST00000312397.10 [O43290-1];			
O43291	O43291;	4U32;	ENST00000301244.12 [O43291-1];ENST00000454580.7 [O43291-2];			
O43292	O43292;	7W72;7WLD;8IMX;8IMY;	ENST00000355091.9 [O43292-1];ENST00000361036.11 [O43292-2];			
O43293	O43293;	1YRP;2J90;3BHY;3BQR;5A6N;5A6O;5VJA;	ENST00000301264.7 [O43293-1];ENST00000545797.7 [O43293-1];			
O43294	O43294;		ENST00000361773.7 [O43294-2];ENST00000394858.6 [O43294-2];ENST00000394863.8 [O43294-1];ENST00000567607.5 [O43294-2];			
O43295	O43295;		ENST00000360413.7 [O43295-2];ENST00000383836.8 [O43295-1];			
O43296	O43296;		ENST00000263095.10;			
O43298	O43298;	2CSH;8YMZ;	ENST00000373457.1;ENST00000373464.5;ENST00000449886.5;			
O43299	O43299;		ENST00000648925.1 [O43299-2];ENST00000649063.2 [O43299-1];			
O43300	O43300;	5Z8X;5Z8Y;	ENST00000274711.7;			
O43303	O43303;		ENST00000381396.9 [O43303-1];ENST00000396208.4 [O43303-2];ENST00000396212.6 [O43303-2];ENST00000694978.1 [O43303-2];			
O43306	O43306;		ENST00000307885.4 [O43306-1];ENST00000357869.8 [O43306-1];ENST00000550422.5 [O43306-2];			
O43307	O43307;	2YSQ;	ENST00000253401.10 [O43307-1];ENST00000623517.3 [O43307-2];ENST00000624843.3 [O43307-3];ENST00000671907.1 [O43307-1];			
O43309	O43309;		ENST00000361028.6 [O43309-2];ENST00000396827.3 [O43309-2];ENST00000684592.1 [O43309-1];			
O43310	O43310;		ENST00000256413.8 [O43310-1];ENST00000382998.8 [O43310-2];ENST00000634350.1 [O43310-2];ENST00000635228.2 [O43310-1];			
O43312	O43312;	2D1K;	ENST00000325064.9 [O43312-5];ENST00000378017.7 [O43312-4];ENST00000431961.6 [O43312-2];ENST00000518547.6 [O43312-1];			
O43313	O43313;		ENST00000299575.5 [O43313-1];ENST00000564241.5 [O43313-2];ENST00000566488.1 [O43313-2];ENST00000709336.1 [O43313-1];ENST00000709339.1 [O43313-2];ENST00000709341.1 [O43313-2];			
O43314	O43314;	3T54;3T7A;3T99;3T9A;3T9B;3T9C;3T9D;3T9E;3T9F;4HN2;4NZM;4NZN;4NZO;4Q4C;4Q4D;5BYA;5BYB;5DGH;5DGI;6N5C;8G9E;	ENST00000321521.13 [O43314-2];ENST00000358359.8 [O43314-1];ENST00000414217.5 [O43314-2];			
O43315	O43315;		ENST00000219919.9;			
O43316	O43316;		ENST00000341640.6 [O43316-4];			
O43318	O43318;	2EVA;2YIY;4GS6;4L3P;4L52;4L53;4O91;5E7R;5GJD;5GJF;5GJG;5J7S;5J8I;5J9L;5JGA;5JGB;5JGD;5JH6;5JK3;5V5N;7NTH;7NTI;8GW3;	ENST00000369325.7 [O43318-3];ENST00000369327.7 [O43318-4];ENST00000369329.8 [O43318-1];ENST00000369332.7 [O43318-2];ENST00000700580.1 [O43318-2];			
O43320	O43320;		ENST00000439435.3;			
O43323	O43323;	2WFQ;2WFR;2WG3;3N1G;3N1Q;	ENST00000649637.2;			
O43324	O43324;	2UZ8;4BL7;4BVX;4BVY;5BMU;5Y6L;	ENST00000379715.10 [O43324-1];ENST00000429723.6 [O43324-2];			
O43353	O43353;	2N7Z;2N83;4C8B;5AR2;5AR3;5AR4;5AR5;5AR7;5AR8;5J79;5J7B;5NG0;5NG2;5NG3;5W5J;5W5O;5YRN;6ES0;6FU5;6GFJ;6GGS;6HMX;6RN8;6RNA;6S1F;6SZE;6SZJ;6UL8;7OBS;7OBT;8AZA;	ENST00000220751.5 [O43353-1];			
O43364	O43364;		ENST00000222718.7;			
O43365	O43365;		ENST00000317201.7;ENST00000396352.8;ENST00000612286.5;			
O43374	O43374;		ENST00000262940.12 [O43374-1];ENST00000449970.6 [O43374-2];			
O43379	O43379;		ENST00000270301.12 [O43379-1];ENST00000378860.8 [O43379-3];ENST00000401500.7 [O43379-4];ENST00000587391.6 [O43379-2];			
O43390	O43390;	2DK2;	ENST00000302271.11 [O43390-1];ENST00000374612.5 [O43390-1];ENST00000374616.7 [O43390-2];ENST00000463552.6 [O43390-3];ENST00000478691.5 [O43390-4];ENST00000634263.1 [O43390-1];ENST00000634634.2 [O43390-3];ENST00000634713.1 [O43390-2];ENST00000634766.2 [O43390-1];ENST00000635150.1 [O43390-4];			
O43395	O43395;	1X4Q;3JCR;5O9Z;6AH0;6AHD;6QW6;6QX9;7N2N;7N2R;7N2S;8H6E;8H6J;8H6K;8H6L;8Q7N;8QO9;8QOZ;8QP8;8QP9;8QPA;8QPB;8QPE;8QXD;8QZS;8R08;8R09;8R0A;8R0B;8RM5;8Y6O;	ENST00000324862.7 [O43395-1];			
O43396	O43396;	1GH2;1WWY;	ENST00000217515.11;ENST00000590954.5;			
O43399	O43399;		ENST00000217121.9 [O43399-7];ENST00000346249.9 [O43399-1];ENST00000348257.9 [O43399-2];ENST00000351424.8 [O43399-3];ENST00000352482.8 [O43399-5];ENST00000358548.4 [O43399-4];ENST00000369927.8 [O43399-6];			
O43402	O43402;	6WW7;7ADO;7ADP;8EOI;8J0N;8J0O;8S9S;9C7V;	ENST00000253457.8 [O43402-1];ENST00000435200.2 [O43402-2];			
O43405	O43405;	1JBI;	ENST00000396618.9 [O43405-1];ENST00000475087.5 [O43405-2];ENST00000643575.1 [O43405-1];ENST00000644874.2 [O43405-1];			
O43422	O43422;		ENST00000260045.8 [O43422-1];			
O43424	O43424;	5KC8;5KCA;	ENST00000282020.9 [O43424-1];ENST00000510992.5 [O43424-2];			
O43426	O43426;	1W80;2DNR;2VJ0;7A0V;	ENST00000357345.7 [O43426-4];ENST00000674204.1 [O43426-2];ENST00000674308.1 [O43426-1];ENST00000674351.1 [O43426-2];			
O43427	O43427;		ENST00000338369.6 [O43427-1];ENST00000357519.9 [O43427-2];			
O43432	O43432;	1HU3;	ENST00000264211.13 [O43432-1];ENST00000356916.7 [O43432-2];ENST00000374935.7 [O43432-4];ENST00000682284.1 [O43432-2];ENST00000686579.1 [O43432-3];			
O43435	O43435;	4A04;	ENST00000329705.11 [O43435-1];ENST00000332710.8 [O43435-3];ENST00000359500.7 [O43435-2];			
O43439	O43439;		ENST00000342704.11 [O43439-5];ENST00000344201.7 [O43439-3];ENST00000346541.7 [O43439-1];ENST00000359606.3 [O43439-4];ENST00000375279.6 [O43439-1];ENST00000397800.5 [O43439-2];ENST00000492345.5 [O43439-2];			
O43447	O43447;	1MZW;1QOI;5O9Z;6AHD;8H6K;8H6L;8QO9;8QZS;8R09;8R0B;8RM5;	ENST00000304979.8 [O43447-1];ENST00000372550.6 [O43447-1];ENST00000676675.1 [O43447-1];ENST00000677900.1 [O43447-1];ENST00000678038.1 [O43447-1];ENST00000678333.1 [O43447-1];ENST00000678803.1 [O43447-1];			
O43448	O43448;		ENST00000303790.3;			
O43451	O43451;	2QLY;2QMJ;3CTT;3L4T;3L4U;3L4V;3L4W;3L4X;3L4Y;3L4Z;3TON;3TOP;	ENST00000475668.6 [O43451-2];ENST00000549489.6 [O43451-1];ENST00000620571.1 [O43451-1];			
O43460	O43460;					
O43462	O43462;		ENST00000379484.10;			
O43463	O43463;	3MTS;	ENST00000337852.10 [O43463-2];ENST00000376687.4 [O43463-1];			
O43464	O43464;	1LCY;2PZD;5FHT;5M3N;5M3O;5TNY;5TNZ;5TO0;5TO1;5WYN;7VGE;8AUK;8E2K;	ENST00000258080.8 [O43464-1];ENST00000352222.7 [O43464-2];ENST00000437202.2 [O43464-3];			
O43474	O43474;	6VTX;	ENST00000374672.5 [O43474-1];			
O43482	O43482;	7SFY;	ENST00000220514.8;			
O43488	O43488;	2BP1;	ENST00000235835.8;			
O43490	O43490;		ENST00000447510.7 [O43490-1];ENST00000505450.5 [O43490-2];ENST00000508167.5 [O43490-2];ENST00000510224.5 [O43490-1];ENST00000539194.6 [O43490-6];ENST00000540805.6 [O43490-4];ENST00000675377.1 [O43490-7];ENST00000675613.1 [O43490-5];			
O43491	O43491;		ENST00000337057.8 [O43491-1];ENST00000368128.6 [O43491-1];ENST00000392427.7 [O43491-2];ENST00000445890.6 [O43491-3];ENST00000525271.5 [O43491-2];ENST00000528282.5 [O43491-3];ENST00000530481.5 [O43491-4];			
O43493	O43493;	6YAF;	ENST00000377386.8 [O43493-2];ENST00000398263.6 [O43493-4];ENST00000409015.5 [O43493-7];ENST00000444342.2 [O43493-5];ENST00000710332.1 [O43493-4];			
O43497	O43497;	6KZO;6KZP;	ENST00000352832.9 [O43497-2];ENST00000354983.8 [O43497-33];ENST00000358244.9 [O43497-5];ENST00000359106.10 [O43497-1];ENST00000360761.8 [O43497-9];ENST00000429973.6 [O43497-13];ENST00000442258.6 [O43497-3];ENST00000502264.5 [O43497-10];ENST00000503436.5 [O43497-29];ENST00000503485.5 [O43497-24];ENST00000503607.5 [O43497-27];ENST00000504076.5 [O43497-32];ENST00000505165.5 [O43497-18];ENST00000506406.5 [O43497-31];ENST00000507336.5 [O43497-20];ENST00000507510.6 [O43497-12];ENST00000507609.5 [O43497-17];ENST00000507896.5 [O43497-19];ENST00000510115.5 [O43497-8];ENST00000510366.5 [O43497-23];ENST00000511765.5 [O43497-30];ENST00000511768.5 [O43497-28];ENST00000512389.5 [O43497-6];ENST00000513689.6 [O43497-25];ENST00000513964.5 [O43497-26];ENST00000514079.5 [O43497-21];ENST00000514181.5 [O43497-15];ENST00000514717.5 [O43497-22];ENST00000515165.5 [O43497-11];ENST00000515411.5 [O43497-16];ENST00000515765.5 [O43497-7];			
O43502	O43502;	8FAZ;8GBJ;8OUY;8OUZ;	ENST00000337432.9 [O43502-1];ENST00000421782.3 [O43502-2];			
O43504	O43504;	3MS6;3MSH;5VOK;5X6U;5X6V;5Y38;5Y39;5Y3A;5YK3;5YK5;6B9X;6EHP;6EHR;6NZD;6U62;6ULG;6WJ2;6WJ3;7T3A;7T3B;7T3C;7UX2;7UXC;7UXH;8DHB;	ENST00000602318.6;			
O43505	O43505;		ENST00000311181.5;			
O43506	O43506;		ENST00000256389.5;			
O43508	O43508;	4HT1;	ENST00000293825.11 [O43508-1];			
O43511	O43511;		ENST00000644269.2 [O43511-1];			
O43513	O43513;	7EMF;7ENA;7ENC;7ENJ;7LBM;7NVR;8GXQ;8GXS;8T9D;8TQW;8TRH;	ENST00000286317.6;ENST00000420343.1;			
O43516	O43516;	2A41;	ENST00000272746.9 [O43516-3];ENST00000359761.7 [O43516-1];ENST00000392546.6 [O43516-1];ENST00000392547.6 [O43516-1];ENST00000409891.5 [O43516-2];ENST00000436221.2 [O43516-1];ENST00000679041.1 [O43516-1];ENST00000698668.1 [O43516-1];ENST00000698701.1 [O43516-1];			
O43520	O43520;	7PY4;7VGH;7VGI;7VGJ;8OX4;8OX5;8OX6;8OX7;8OX8;8OX9;8OXA;8OXB;8OXC;	ENST00000648908.2;			
O43521	O43521;	1F95;2K7W;2NL9;2V6Q;2VM6;2WH6;2YQ6;2YQ7;3D7V;3FDL;3IO8;3IO9;3KJ0;3KJ1;3KJ2;4A1U;4A1W;4B4S;4D2M;4QVF;4UF3;4YJ4;4ZIE;4ZIF;4ZIH;5AGW;5AGX;5C3G;5VWV;5VWW;5VWX;5VWY;5VWZ;5VX0;5VX2;5VX3;5WOS;6QFI;6RJP;6TQQ;6UA3;6UAB;6VBX;6X8O;8T5E;	ENST00000308659.12 [O43521-2];ENST00000393256.8 [O43521-1];ENST00000405953.6 [O43521-17];ENST00000415458.5 [O43521-16];ENST00000431217.1 [O43521-10];ENST00000436733.5 [O43521-14];ENST00000437029.5 [O43521-8];ENST00000439718.1 [O43521-7];ENST00000452231.5 [O43521-9];ENST00000715206.1 [O43521-1];			
O43524	O43524;	2K86;2LQH;2LQI;2UZK;6MNL;7V9B;	ENST00000343882.10 [O43524-1];ENST00000406360.2 [O43524-1];ENST00000540898.1 [O43524-2];			
O43525	O43525;	5J03;	ENST00000388996.10 [O43525-1];ENST00000521134.6 [O43525-2];			
O43526	O43526;	5J03;6FEG;6FEH;7CR0;7CR1;7CR2;7CR3;7CR4;7CR7;8IJK;8IZY;8J00;8J01;8J02;8J03;8J04;8J05;8W4U;8X43;	ENST00000344425.8 [O43526-6];ENST00000344462.8 [O43526-4];ENST00000359125.7 [O43526-1];ENST00000360480.7 [O43526-3];ENST00000626839.2 [O43526-2];			
O43529	O43529;		ENST00000264249.8;ENST00000409701.5;			
O43541	O43541;		ENST00000288840.10 [O43541-1];ENST00000557916.5 [O43541-4];			
O43542	O43542;		ENST00000352127.11;ENST00000553264.5;ENST00000554913.5;ENST00000555055.6;			
O43543	O43543;	8FAZ;8GBJ;8OUY;8OUZ;	ENST00000359321.2;			
O43548	O43548;		ENST00000220420.10 [O43548-1];ENST00000349114.8 [O43548-2];			
O43556	O43556;		ENST00000445866.7 [O43556-4];ENST00000642933.1 [O43556-3];ENST00000648936.2 [O43556-1];			
O43557	O43557;	4EN0;4J6G;4KG8;4KGG;4KGQ;4RSU;7MSG;	ENST00000245912.7 [O43557-2];ENST00000599359.1 [O43557-1];ENST00000675206.1 [O43557-1];			
O43559	O43559;	2KUP;2KUQ;2YS5;2YT2;	ENST00000259748.6;ENST00000373018.7;			
O43561	O43561;		ENST00000360872.9 [O43561-1];ENST00000395456.7 [O43561-2];ENST00000395461.7 [O43561-3];ENST00000454369.6 [O43561-4];ENST00000564277.5 [O43561-4];ENST00000566177.5 [O43561-5];			
O43566	O43566;	2JNU;2OM2;2XNS;3ONW;3QI2;	ENST00000408923.8 [O43566-7];			
O43567	O43567;	5ZBU;5ZC4;	ENST00000344229.7 [O43567-1];ENST00000361785.10 [O43567-2];ENST00000392894.8 [O43567-1];			
O43570	O43570;	1JCZ;1JD0;4HT2;4KP5;4KP8;4Q0L;4QJ0;4QJO;4QJW;4WW8;5LL5;5LL9;5LLO;5LLP;5MSA;5MSB;6G5L;6G7A;6QN0;6QNG;6QNL;6R6Y;6R71;6RPS;6T5P;6T5Q;7PP9;7PUU;7PUV;7PUW;8CO3;	ENST00000178638.8 [O43570-1];ENST00000344366.7 [O43570-2];			
O43572	O43572;	3IM4;3TMH;	ENST00000225737.11;			
O43581	O43581;	2D8K;	ENST00000263846.8 [O43581-1];ENST00000535826.5 [O43581-5];ENST00000539008.6 [O43581-3];ENST00000540677.5 [O43581-2];ENST00000542670.5 [O43581-4];ENST00000542836.5 [O43581-6];			
O43583	O43583;	5ONS;5VYC;6MS4;6VPQ;6VPR;	ENST00000280557.11;			
O43586	O43586;	2DIL;7AAL;7AAM;7AAN;	ENST00000558012.6 [O43586-1];ENST00000559295.5 [O43586-2];			
O43592	O43592;		ENST00000332707.10;			
O43593	O43593;		ENST00000312841.9 [O43593-2];ENST00000381418.9 [O43593-1];ENST00000680789.1 [O43593-1];			
O43597	O43597;	3BUM;3OB1;5HKY;5HKZ;5HL0;	ENST00000377102.5;ENST00000377104.4;			
O43598	O43598;	4P5E;8OS9;8OSC;8QHQ;8QHR;	ENST00000230431.11 [O43598-1];ENST00000393987.2 [O43598-2];			
O43602	O43602;	1MJD;2BQQ;2XRP;4ATU;5IKC;5IN7;5IO9;5IOI;5IP4;6FNZ;6REV;6RF2;6RF8;6RFD;	ENST00000488120.2 [O43602-2];ENST00000635795.1 [O43602-1];			
O43603	O43603;	7WQ4;7XBD;7XJK;7XJL;	ENST00000329003.4;			
