Entry	AlphaFoldDB	PDB	Ensembl
Q61627	Q61627;	5KC9;	ENSMUST00000043349.7;
Q61644	Q61644;	2X3V;2X3W;2X3X;	ENSMUST00000045896.11;ENSMUST00000097360.3;ENSMUST00000114873.8;ENSMUST00000231669.2;ENSMUST00000232437.2;
Q61647	Q61647;		ENSMUST00000003762.8;
Q61655	Q61655;		ENSMUST00000040416.8;
Q61656	Q61656;		
Q61657	Q61657;		ENSMUST00000094438.2;
Q61658	Q61658;		ENSMUST00000035433.10;ENSMUST00000224331.2;
Q61660	Q61660;		ENSMUST00000036215.8;
Q61663	Q61663;		ENSMUST00000089641.6;
Q61666	Q61666;		ENSMUST00000004222.14 [Q61666-1];ENSMUST00000120532.9 [Q61666-3];
Q61670	Q61670;		ENSMUST00000048572.7;
Q61672	Q61672;		ENSMUST00000236152.2;
Q61686	Q61686;	2RVL;2RVM;2RVN;	ENSMUST00000108813.10;ENSMUST00000118152.8;ENSMUST00000122182.2;
Q61687	Q61687;		ENSMUST00000113573.8;
Q61694	Q61694;		ENSMUST00000044094.6;
Q61696	Q61696;		ENSMUST00000087328.4;
Q61699	Q61699;		ENSMUST00000074846.14 [Q61699-2];ENSMUST00000201452.4 [Q61699-1];ENSMUST00000202361.4 [Q61699-1];
Q61701	Q61701;		ENSMUST00000102722.9 [Q61701-10];ENSMUST00000102723.11 [Q61701-4];ENSMUST00000106597.10 [Q61701-1];ENSMUST00000106598.8 [Q61701-5];ENSMUST00000106600.9 [Q61701-9];ENSMUST00000106601.8 [Q61701-7];ENSMUST00000106603.9 [Q61701-6];ENSMUST00000142722.2 [Q61701-8];
Q61712	Q61712;		ENSMUST00000091418.12;ENSMUST00000166495.8;
Q61727	Q61727;		ENSMUST00000034594.16;
Q61730	Q61730;	4YFD;5VI4;	ENSMUST00000023156.13 [Q61730-1];ENSMUST00000096129.9 [Q61730-3];ENSMUST00000174202.8 [Q61730-2];
Q61735	Q61735;		ENSMUST00000084838.14 [Q61735-2];
Q61738	Q61738;		
Q61739	Q61739;		ENSMUST00000028522.10 [Q61739-2];ENSMUST00000112101.8 [Q61739-1];
Q61743	Q61743;	5WUA;5YKE;5YKF;5YKG;5YW8;5YW9;5YWA;5YWB;5YWC;6JB1;7W4O;7W4P;	ENSMUST00000211674.2;
Q61753	Q61753;		ENSMUST00000065793.12;
Q61759	Q61759;		ENSMUST00000085455.6;
Q61762	Q61762;		ENSMUST00000060972.5 [Q61762-1];
Q61767	Q61767;		ENSMUST00000058728.10;ENSMUST00000179429.6;ENSMUST00000186215.7;ENSMUST00000196861.2;
Q61768	Q61768;	6IGN;6IGV;	ENSMUST00000025083.14;
Q61771	Q61771;		ENSMUST00000028977.7;
Q61772	Q61772;		ENSMUST00000029964.12 [Q61772-1];ENSMUST00000080934.11 [Q61772-4];ENSMUST00000108194.9 [Q61772-5];
Q61781	Q61781;		ENSMUST00000007272.8;
Q61789			ENSMUST00000092070.13 [Q61789-1];ENSMUST00000188815.2 [Q61789-2];
Q61790	Q61790;	7TZE;8DGG;9CYL;9CYM;	ENSMUST00000032217.2;
Q61805	Q61805;	4M4D;	ENSMUST00000016168.9;
Q61810	Q61810;		ENSMUST00000081496.6 [Q61810-1];
Q61817	Q61817;		
Q61818	Q61818;		ENSMUST00000064190.13 [Q61818-1];ENSMUST00000090806.5 [Q61818-2];ENSMUST00000102688.2 [Q61818-1];ENSMUST00000171108.8 [Q61818-1];
Q61823	Q61823;	2HM8;2IOL;2ION;2IOS;2KZT;2NSZ;3EIQ;	ENSMUST00000025931.14;ENSMUST00000074371.13;ENSMUST00000165617.3;
Q61824	Q61824;		ENSMUST00000067680.11;
Q61826	Q61826;		ENSMUST00000217748.2 [Q61826-2];
Q61827	Q61827;		ENSMUST00000018287.10;ENSMUST00000110836.2;
Q61830	Q61830;	1DQG;1DQO;1FWU;1FWV;	ENSMUST00000028045.4;
Q61831	Q61831;		
Q61835	Q61835;		ENSMUST00000167369.8;
Q61838	Q61838;		ENSMUST00000112132.8;
Q61839	Q61839;		ENSMUST00000027449.6;
Q61845	Q61845;	2N2Y;	ENSMUST00000064685.14;ENSMUST00000115081.8;ENSMUST00000115082.10;ENSMUST00000115083.8;ENSMUST00000115084.8;
Q61846	Q61846;	4BFM;4CQG;	ENSMUST00000045607.12;
Q61847	Q61847;		ENSMUST00000082235.5 [Q61847-1];
Q61850	Q61850;		ENSMUST00000054691.8;
Q61851	Q61851;		
Q61879	Q61879;		ENSMUST00000102611.10;
Q61880	Q61880;		ENSMUST00000023065.8;
Q61881	Q61881;		ENSMUST00000000505.16;
Q61884	Q61884;	8I7R;8IYJ;8TO0;	ENSMUST00000034746.10;
Q61885	Q61885;	1PY9;	
Q61907	Q61907;		ENSMUST00000000310.14 [Q61907-1];ENSMUST00000102692.10 [Q61907-1];ENSMUST00000102693.9 [Q61907-2];
Q61909	Q61909;		ENSMUST00000098256.4;
Q61937	Q61937;	4N8M;	ENSMUST00000075641.10;
Q61955	Q61955;	1NPM;	ENSMUST00000085461.4;
Q61967	Q61967;		ENSMUST00000034382.8;ENSMUST00000212874.2;
Q61982	Q61982;		ENSMUST00000087723.5;
Q61985	Q61985;		ENSMUST00000081775.12 [Q61985-1];ENSMUST00000107657.8 [Q61985-1];ENSMUST00000107658.8 [Q61985-1];ENSMUST00000167110.8 [Q61985-3];ENSMUST00000167149.8 [Q61985-1];
Q61990	Q61990;		ENSMUST00000077037.13 [Q61990-1];ENSMUST00000078404.15 [Q61990-1];ENSMUST00000229618.2 [Q61990-2];ENSMUST00000229854.2 [Q61990-3];
Q61999	Q61999;		
Q62005	Q62005;		ENSMUST00000025641.2;
Q62007	Q62007;		ENSMUST00000038432.7;ENSMUST00000215254.2;
Q62009	Q62009;		ENSMUST00000073012.13 [Q62009-2];ENSMUST00000081564.13 [Q62009-1];ENSMUST00000107985.10 [Q62009-3];ENSMUST00000117373.8 [Q62009-5];
Q62010	Q62010;		ENSMUST00000000573.9;
Q62011	Q62011;	3IET;6LZ4;	ENSMUST00000030317.14;
Q62018	Q62018;		ENSMUST00000005749.6 [Q62018-1];
Q62028	Q62028;		ENSMUST00000112525.5 [Q62028-1];
Q62035	Q62035;		ENSMUST00000070690.8;
Q62036	Q62036;		ENSMUST00000106229.8;
Q62048	Q62048;	2LS7;	ENSMUST00000013842.12 [Q62048-1];ENSMUST00000111247.8 [Q62048-2];
Q62052	Q62052;		ENSMUST00000032633.12;
Q62053	Q62053;		ENSMUST00000046891.6;
Q62059			
Q62066	Q62066;		ENSMUST00000008090.11;
Q62070	Q62070;		ENSMUST00000033495.16 [Q62070-1];
Q62073	Q62073;		ENSMUST00000080933.13;
Q62074	Q62074;	4DC2;	ENSMUST00000108249.9;
Q62077	Q62077;		ENSMUST00000103115.8;
Q62083	Q62083;		
Q62087	Q62087;		ENSMUST00000031773.9;
Q62092	Q62092;		ENSMUST00000031009.8;ENSMUST00000201363.4;
Q62093	Q62093;		ENSMUST00000092404.13;ENSMUST00000136914.8;ENSMUST00000190993.7;
Q62095	Q62095;		ENSMUST00000091190.12;
Q62101	Q62101;		ENSMUST00000002765.9;
Q62108	Q62108;		ENSMUST00000108588.9 [Q62108-1];ENSMUST00000108589.10 [Q62108-2];ENSMUST00000231415.2 [Q62108-3];
Q62120	Q62120;	2HDX;4GL9;	ENSMUST00000025705.7;ENSMUST00000065796.10;ENSMUST00000238009.2;
Q62130	Q62130;		ENSMUST00000097442.9;
Q62132	Q62132;	1JLN;	ENSMUST00000063470.11 [Q62132-1];ENSMUST00000105271.9 [Q62132-2];ENSMUST00000128399.2 [Q62132-3];ENSMUST00000148731.8 [Q62132-3];ENSMUST00000155606.8 [Q62132-3];
Q62137	Q62137;		
Q62141	Q62141;	1E91;1PD7;2CR7;2CZY;2F05;5Y95;	ENSMUST00000004494.16 [Q62141-4];ENSMUST00000109950.5 [Q62141-2];ENSMUST00000212095.2 [Q62141-3];
Q62148	Q62148;		ENSMUST00000034723.6;
Q62151	Q62151;	4IM8;	ENSMUST00000015596.10 [Q62151-1];ENSMUST00000173992.8 [Q62151-4];ENSMUST00000174069.8 [Q62151-2];ENSMUST00000174496.9 [Q62151-3];
Q62158	Q62158;		ENSMUST00000021761.13;ENSMUST00000222544.2;
Q62159	Q62159;		ENSMUST00000002303.12;ENSMUST00000106787.8;ENSMUST00000196817.5;
Q62165	Q62165;	1U2C;4WIQ;5N30;5N4H;	ENSMUST00000080435.9;ENSMUST00000166905.8;ENSMUST00000171412.7;ENSMUST00000191899.6;
Q62167	Q62167;		ENSMUST00000000804.7;
Q62170	Q62170;	2EMT;	
Q62172	Q62172;		ENSMUST00000024905.11;ENSMUST00000166543.10;
Q62178	Q62178;		ENSMUST00000029700.12;ENSMUST00000165898.8;ENSMUST00000166237.8;ENSMUST00000169222.8;
Q62179	Q62179;		ENSMUST00000032754.9;ENSMUST00000205822.2;
Q62181	Q62181;		ENSMUST00000030568.14;
Q62187	Q62187;		ENSMUST00000100237.4;
Q62188	Q62188;		ENSMUST00000025379.14;
Q62190	Q62190;		ENSMUST00000035203.9 [Q62190-1];
Q62191	Q62191;	2VOK;3ZO0;	
Q62192	Q62192;	3T6Q;	ENSMUST00000022124.10;
Q62193	Q62193;		ENSMUST00000102561.11;
Q62205	Q62205;		ENSMUST00000100064.9;
Q62209	Q62209;		ENSMUST00000029448.11;ENSMUST00000196988.5;
Q62210	Q62210;		ENSMUST00000074246.7;ENSMUST00000190341.7;
Q62217	Q62217;		
Q62219	Q62219;		ENSMUST00000070656.12 [Q62219-2];ENSMUST00000164710.8 [Q62219-3];ENSMUST00000167965.8 [Q62219-1];ENSMUST00000169919.8 [Q62219-6];
Q62226	Q62226;	1VHH;2WFX;2WG4;3D1M;3N1R;4C4M;4C4N;7RPK;	ENSMUST00000002708.5;
Q62227	Q62227;	1YMT;4NUF;	ENSMUST00000042706.3;
Q62230	Q62230;	1OD7;1OD9;1ODA;1QFO;1QFP;1URL;2BVE;	
Q62231	Q62231;		ENSMUST00000050029.8;
Q62232	Q62232;		ENSMUST00000163568.4;
Q62233	Q62233;		ENSMUST00000175898.4 [Q62233-1];ENSMUST00000176081.3 [Q62233-1];
Q62234	Q62234;	2JTD;4V10;	ENSMUST00000073211.13 [Q62234-1];ENSMUST00000179759.3 [Q62234-2];
Q62240	Q62240;		ENSMUST00000055032.14 [Q62240-1];ENSMUST00000186696.7 [Q62240-4];
Q62245	Q62245;	1B07;1GBQ;1PMS;2GBQ;3GBQ;4GBQ;	ENSMUST00000068714.7;
Q62255	Q62255;		ENSMUST00000057950.9 [Q62255-2];
Q62261	Q62261;	1BTN;1MPH;6M3P;	ENSMUST00000006629.14 [Q62261-1];ENSMUST00000011877.13 [Q62261-1];ENSMUST00000102838.10 [Q62261-2];
Q62264	Q62264;	3ONT;	ENSMUST00000043077.8;
Q62273	Q62273;		ENSMUST00000146409.8;
Q62277	Q62277;	9BRA;9BRQ;9BRT;9BRZ;	ENSMUST00000069520.11;
Q62280	Q62280;		ENSMUST00000040924.9;
Q62288	Q62288;		
Q62293	Q62293;		ENSMUST00000046745.7;ENSMUST00000068063.4;
Q62296	Q62296;	3JUA;4LN0;5GN0;5XJD;5Z2Q;6L9F;6SBA;	ENSMUST00000006311.13 [Q62296-1];ENSMUST00000112157.4 [Q62296-2];ENSMUST00000130454.8 [Q62296-2];
Q62311	Q62311;		ENSMUST00000048698.14;ENSMUST00000110936.8;
Q62312	Q62312;		ENSMUST00000035014.8 [Q62312-2];ENSMUST00000061101.12 [Q62312-1];
Q62315	Q62315;	2RQ5;	ENSMUST00000044608.14 [Q62315-1];ENSMUST00000173246.8 [Q62315-1];ENSMUST00000173704.8 [Q62315-1];
Q62318	Q62318;	6O5K;	ENSMUST00000005705.8 [Q62318-1];
Q62348	Q62348;	1KEY;	ENSMUST00000027623.9;
Q62351	Q62351;		ENSMUST00000023486.15;
Q62356	Q62356;	6JZA;	ENSMUST00000114763.3;
Q62361	Q62361;		ENSMUST00000006046.5;
Q62371	Q62371;		ENSMUST00000027985.8;ENSMUST00000170800.8;ENSMUST00000194690.6;
Q62376	Q62376;		ENSMUST00000074575.11 [Q62376-1];
Q62383	Q62383;		ENSMUST00000002121.5;
Q62384	Q62384;	2QKD;	ENSMUST00000156440.8;
Q62386	Q62386;		ENSMUST00000027061.5;
Q62388			ENSMUST00000232179.2;
Q62392	Q62392;		ENSMUST00000164773.2;
Q62393	Q62393;		ENSMUST00000091354.12 [Q62393-1];ENSMUST00000091355.12 [Q62393-3];ENSMUST00000120143.8 [Q62393-2];
Q62398	Q62398;		ENSMUST00000006020.8;
Q62401	Q62401;		ENSMUST00000000194.4;
Q62406	Q62406;		ENSMUST00000068286.12 [Q62406-1];ENSMUST00000114352.8 [Q62406-1];ENSMUST00000114360.10 [Q62406-2];
Q62407			ENSMUST00000113590.8 [Q62407-2];
Q62413	Q62413;	5ZRY;	
Q62414	Q62414;		ENSMUST00000041685.7;
Q62417	Q62417;		
Q62418	Q62418;		ENSMUST00000020769.14 [Q62418-1];ENSMUST00000102928.5 [Q62418-2];ENSMUST00000109845.8 [Q62418-3];
Q62420	Q62420;	1ZWW;	ENSMUST00000030212.15;
Q62424	Q62424;	2LD5;	ENSMUST00000147595.7;
Q62431	Q62431;		ENSMUST00000019708.12;ENSMUST00000105376.2;
Q62432	Q62432;		ENSMUST00000025453.15 [Q62432-1];ENSMUST00000091831.13 [Q62432-2];ENSMUST00000168423.9 [Q62432-1];
Q62433	Q62433;		ENSMUST00000005256.14;
Q62440	Q62440;		ENSMUST00000107337.8 [Q62440-7];
Q62441	Q62441;		ENSMUST00000052011.15;
Q62442	Q62442;		ENSMUST00000032487.14 [Q62442-1];ENSMUST00000100942.9 [Q62442-2];
Q62448	Q62448;		
Q62452	Q62452;		ENSMUST00000073772.5 [Q62452-1];
Q62463	Q62463;		ENSMUST00000020323.7;
Q62468	Q62468;		ENSMUST00000027366.13;
Q62469	Q62469;		ENSMUST00000056117.10;
Q62470	Q62470;		ENSMUST00000001548.14 [Q62470-1];ENSMUST00000107739.8 [Q62470-3];ENSMUST00000120375.8 [Q62470-2];
Q62481	Q62481;		ENSMUST00000009102.9;
Q62504			
Q62520	Q62520;		
Q62521	Q62521;		ENSMUST00000088627.11 [Q62521-1];ENSMUST00000088629.4 [Q62521-2];
Q62522	Q62522;		
Q62523	Q62523;		ENSMUST00000164375.4;ENSMUST00000203652.3;
Q62559	Q62559;	5FMS;	ENSMUST00000018002.13;
Q63739	Q63739;	5LXQ;5MMZ;6WUS;	ENSMUST00000027232.15;ENSMUST00000232841.2;
Q63810	Q63810;	4ORB;	ENSMUST00000102880.5 [Q63810-1];
Q63811	Q63811;		ENSMUST00000029991.3;
Q63844	Q63844;		ENSMUST00000057669.16;
Q63850	Q63850;		ENSMUST00000057195.17;ENSMUST00000207103.2;ENSMUST00000208626.2;
Q63870		6S4C;	ENSMUST00000026740.6;ENSMUST00000112070.8;
Q63886	Q63886;		ENSMUST00000073049.7 [Q63886-1];
Q63912	Q63912;		
Q63918	Q63918;		ENSMUST00000051572.8;
Q63932	Q63932;	1JKY;	ENSMUST00000143517.8;
Q63934	Q63934;		ENSMUST00000034115.5 [Q63934-1];
Q63943	Q63943;		ENSMUST00000107559.3 [Q63943-1];
Q63955	Q63955;		ENSMUST00000025374.4;
Q63959	Q63959;		ENSMUST00000107907.10;
Q63961	Q63961;		ENSMUST00000009705.14;
Q63994	Q63994;		ENSMUST00000004728.12 [Q63994-1];ENSMUST00000039861.7 [Q63994-2];ENSMUST00000205503.2 [Q63994-2];
Q63ZV0	Q63ZV0;		ENSMUST00000089257.6;
Q63ZW7	Q63ZW7;		ENSMUST00000030290.8 [Q63ZW7-4];ENSMUST00000041284.10 [Q63ZW7-1];ENSMUST00000102792.10 [Q63ZW7-3];ENSMUST00000107029.8 [Q63ZW7-2];ENSMUST00000107030.9 [Q63ZW7-5];
Q64008	Q64008;		
Q64010	Q64010;	1B07;1CKA;1CKB;1JU5;1M30;1M3A;1M3B;1M3C;2GGR;5IH2;5JN0;5L23;	ENSMUST00000017920.14 [Q64010-1];
Q64012	Q64012;		ENSMUST00000029120.14 [Q64012-1];ENSMUST00000058089.13 [Q64012-2];ENSMUST00000109701.10 [Q64012-2];ENSMUST00000116389.9 [Q64012-1];
Q64018	Q64018;		ENSMUST00000075603.5 [Q64018-1];ENSMUST00000102716.10 [Q64018-2];
Q64028	Q64028;		ENSMUST00000079560.10 [Q64028-1];ENSMUST00000081849.10 [Q64028-3];ENSMUST00000112600.9 [Q64028-3];ENSMUST00000160696.8 [Q64028-1];ENSMUST00000161054.8 [Q64028-3];ENSMUST00000161739.8 [Q64028-1];
Q64092	Q64092;		ENSMUST00000101695.9 [Q64092-2];ENSMUST00000115677.8 [Q64092-2];ENSMUST00000115678.3 [Q64092-3];ENSMUST00000115679.8 [Q64092-2];ENSMUST00000137467.8 [Q64092-2];
Q64096	Q64096;	1KZ7;1KZG;1LB1;1RJ2;	
Q640L3	Q640L3;		ENSMUST00000037977.15 [Q640L3-3];ENSMUST00000085350.11 [Q640L3-2];ENSMUST00000150826.9 [Q640L3-1];
Q640M6	Q640M6;		ENSMUST00000037528.10;
Q640N1	Q640N1;		ENSMUST00000102923.10 [Q640N1-1];ENSMUST00000109829.2 [Q640N1-2];
Q640N2	Q640N2;		ENSMUST00000089289.6;
Q640Q5	Q640Q5;		ENSMUST00000031651.15 [Q640Q5-1];ENSMUST00000176600.8 [Q640Q5-5];
Q64104	Q64104;		ENSMUST00000019938.11;
Q64105	Q64105;	1NAS;1OAA;1SEP;	
Q64112	Q64112;		
Q64124	Q64124;		ENSMUST00000043089.9;
Q64127	Q64127;		ENSMUST00000031859.14 [Q64127-1];ENSMUST00000120428.8 [Q64127-2];
Q64131	Q64131;		ENSMUST00000119564.2 [Q64131-1];
Q64133	Q64133;		ENSMUST00000026013.6;
Q64151	Q64151;		ENSMUST00000114991.8;ENSMUST00000191642.6;ENSMUST00000191677.6;ENSMUST00000195620.6;
Q64163	Q64163;		
Q64191	Q64191;		ENSMUST00000033920.6;
Q641K1	Q641K1;		ENSMUST00000022040.14 [Q641K1-1];ENSMUST00000109830.9 [Q641K1-4];ENSMUST00000164215.8 [Q641K1-2];ENSMUST00000170555.8 [Q641K1-3];ENSMUST00000171606.9 [Q641K1-4];
Q641K5	Q641K5;		ENSMUST00000020220.15;
Q64205	Q64205;		ENSMUST00000092768.7;
Q64213	Q64213;		ENSMUST00000131252.8 [Q64213-3];
Q64221	Q64221;		ENSMUST00000066187.6;ENSMUST00000196324.2;ENSMUST00000198675.2;
Q64237	Q64237;	6G9Q;6G9R;	ENSMUST00000000910.7;
Q64249	Q64249;	5KRB;	ENSMUST00000076275.11 [Q64249-1];ENSMUST00000112877.8 [Q64249-1];ENSMUST00000168098.8 [Q64249-3];
Q64253	Q64253;		
Q64261	Q64261;		ENSMUST00000042410.5;ENSMUST00000165117.8;
Q64264	Q64264;		ENSMUST00000022235.6;
Q64267	Q64267;		ENSMUST00000030013.12 [Q64267-1];ENSMUST00000142380.2 [Q64267-2];
Q64277	Q64277;		
Q64279	Q64279;		ENSMUST00000036917.3;ENSMUST00000160392.9;
Q64280	Q64280;		ENSMUST00000037361.9;
Q64281	Q64281;		ENSMUST00000078778.5 [Q64281-1];ENSMUST00000217706.2 [Q64281-2];ENSMUST00000219696.2 [Q64281-1];ENSMUST00000220182.2 [Q64281-2];
Q64282	Q64282;		ENSMUST00000102824.4;
Q64285	Q64285;		ENSMUST00000028161.6;
Q64287	Q64287;	5BVI;	ENSMUST00000021784.10 [Q64287-1];ENSMUST00000110307.3 [Q64287-2];
Q64288	Q64288;	1F35;1JOB;1JOD;	ENSMUST00000098281.4;
Q64291	Q64291;		
Q64299	Q64299;		ENSMUST00000050027.9;
Q64310	Q64310;		ENSMUST00000015011.10;
Q64314	Q64314;		ENSMUST00000016638.8 [Q64314-1];ENSMUST00000110815.9 [Q64314-2];
Q64317	Q64317;		ENSMUST00000037119.4;
Q64318	Q64318;		ENSMUST00000025081.13;
Q64321	Q64321;		ENSMUST00000029677.9;ENSMUST00000107432.8;ENSMUST00000107433.8;ENSMUST00000107435.8;
Q64329	Q64329;	1P1Z;1P4L;3C8J;3C8K;5J6G;	ENSMUST00000088017.5;ENSMUST00000111998.9;
Q64331	Q64331;	2KIA;2LD3;3H8D;5V6E;5V6H;8ARD;	ENSMUST00000035889.15;
Q64332	Q64332;		ENSMUST00000009538.12 [Q64332-1];ENSMUST00000169345.4 [Q64332-2];ENSMUST00000203450.2 [Q64332-2];
Q64336	Q64336;		ENSMUST00000048934.15;
Q64337	Q64337;	2RRU;2ZJD;3ADE;3B0F;3WDZ;	ENSMUST00000015981.12 [Q64337-2];ENSMUST00000102774.11 [Q64337-1];
Q64338	Q64338;		ENSMUST00000044505.14 [Q64338-3];ENSMUST00000114327.9 [Q64338-1];ENSMUST00000164752.8 [Q64338-2];ENSMUST00000166102.8 [Q64338-2];ENSMUST00000168944.8 [Q64338-1];
Q64339	Q64339;	5CHF;5CHV;5CHW;5JZE;5TL7;5TLA;6J62;6YVA;	ENSMUST00000085425.6;
Q64343	Q64343;		ENSMUST00000024829.8;
Q64347	Q64347;		ENSMUST00000031894.13;
Q64364	Q64364;	1HN3;	ENSMUST00000107131.2 [Q64364-1];
Q64368	Q64368;	2XS2;2XS5;2XS7;2XSF;	ENSMUST00000010736.9;
Q64373	Q64373;	1PQ0;1PQ1;2BZW;3IHC;3IHD;3IHE;3IHF;3IIG;3IIH;3ILB;3ILC;4YJ4;4YK9;5C3G;7WJH;7Y99;	ENSMUST00000007803.12 [Q64373-1];ENSMUST00000109820.5 [Q64373-1];ENSMUST00000134902.2 [Q64373-3];ENSMUST00000140436.2 [Q64373-3];
Q64374	Q64374;	4GN7;4GN8;4GN9;4GNA;	ENSMUST00000023832.7;
Q64378	Q64378;		ENSMUST00000079413.11;ENSMUST00000114792.8;ENSMUST00000233102.2;
Q64385	Q64385;		ENSMUST00000098132.11;ENSMUST00000108040.8;ENSMUST00000108041.8;ENSMUST00000108042.3;
Q64387	Q64387;		ENSMUST00000059339.6 [Q64387-1];ENSMUST00000224594.2 [Q64387-2];
Q64429	Q64429;		ENSMUST00000024894.2;
Q64430	Q64430;		ENSMUST00000113557.8;
Q64434	Q64434;		ENSMUST00000016511.6;
Q64435	Q64435;		ENSMUST00000014263.6 [Q64435-1];ENSMUST00000113134.8 [Q64435-1];ENSMUST00000113135.6 [Q64435-1];
Q64436	Q64436;		ENSMUST00000005692.14;
Q64437	Q64437;		ENSMUST00000090171.7;
Q64438	Q64438;	3ZBV;	ENSMUST00000051274.2;ENSMUST00000228835.2;
Q64441	Q64441;		ENSMUST00000038824.6;
Q64442	Q64442;		ENSMUST00000110551.4;
Q64444	Q64444;	2ZNC;3ZNC;8JIF;	ENSMUST00000103194.10;
Q64446	Q64446;		ENSMUST00000006742.11;
Q64449	Q64449;		ENSMUST00000100335.10 [Q64449-1];
Q64455	Q64455;		
Q64467	Q64467;	5C7I;	
Q64471	Q64471;		ENSMUST00000001713.10;
Q64475	Q64475;		ENSMUST00000099703.5;
Q64478	Q64478;		ENSMUST00000224359.2;
Q64487	Q64487;	4Y61;4YFD;4YFE;4YFG;4YH7;5XWT;5XWU;5Y32;6KIP;7CEG;	ENSMUST00000107289.9 [Q64487-4];
Q64505	Q64505;		ENSMUST00000029905.2;
Q64511	Q64511;		ENSMUST00000017629.12;
Q64512	Q64512;	1GM1;1OZI;1VJ6;6GBD;6GBE;	
Q64514	Q64514;		ENSMUST00000087933.10 [Q64514-1];ENSMUST00000188313.7 [Q64514-2];
Q64516	Q64516;		ENSMUST00000026039.15 [Q64516-1];ENSMUST00000113978.9 [Q64516-3];ENSMUST00000156390.8 [Q64516-2];
Q64518	Q64518;		ENSMUST00000021142.8 [Q64518-1];ENSMUST00000108485.9 [Q64518-2];
Q64520	Q64520;	1LVG;	ENSMUST00000170202.9 [Q64520-2];ENSMUST00000172714.3 [Q64520-1];ENSMUST00000240589.1 [Q64520-1];
Q64521	Q64521;		ENSMUST00000028167.3;ENSMUST00000169687.8;
Q64522	Q64522;		ENSMUST00000073115.5;
Q64523	Q64523;		ENSMUST00000090782.4;
Q64524	Q64524;		ENSMUST00000090781.8;
Q64525	Q64525;		ENSMUST00000177113.2;
Q64527	Q64527;		ENSMUST00000012426.3;
Q64669	Q64669;	1DXQ;	ENSMUST00000003947.9;
Q64676	Q64676;		ENSMUST00000057944.12;ENSMUST00000198610.2;
Q64685	Q64685;		ENSMUST00000023601.14;ENSMUST00000115335.2;ENSMUST00000178797.8;
Q64687	Q64687;		ENSMUST00000032421.4;
Q64689	Q64689;		ENSMUST00000025477.15;ENSMUST00000237770.2;
Q64691	Q64691;		ENSMUST00000028749.15 [Q64691-1];ENSMUST00000110721.9 [Q64691-2];
Q64692	Q64692;		ENSMUST00000043336.11;
Q64693	Q64693;		ENSMUST00000034554.9;
Q64700	Q64700;		ENSMUST00000034091.8;
Q64701	Q64701;		ENSMUST00000029170.8 [Q64701-1];
Q64702	Q64702;	1MBY;	ENSMUST00000026858.11 [Q64702-1];ENSMUST00000203295.3 [Q64702-3];
Q64704	Q64704;		ENSMUST00000069285.6 [Q64704-1];ENSMUST00000075304.14 [Q64704-2];ENSMUST00000211641.2 [Q64704-3];
Q64705	Q64705;		ENSMUST00000058860.14 [Q64705-1];ENSMUST00000108119.10 [Q64705-2];
Q64707	Q64707;		
Q64727	Q64727;	5Y04;	ENSMUST00000022369.9;
Q64729	Q64729;		ENSMUST00000007757.15 [Q64729-1];ENSMUST00000044234.14 [Q64729-2];
Q64731	Q64731;		ENSMUST00000181609.2;
Q64732	Q64732;		ENSMUST00000071281.5;
Q64735	Q64735;	1NTL;	ENSMUST00000075451.12 [Q64735-2];
Q64737	Q64737;		ENSMUST00000023684.14 [Q64737-1];ENSMUST00000120450.2 [Q64737-2];ENSMUST00000231380.2 [Q64737-2];ENSMUST00000232289.2 [Q64737-1];
Q64739	Q64739;		ENSMUST00000087497.11 [Q64739-1];ENSMUST00000114252.9 [Q64739-5];ENSMUST00000114255.9 [Q64739-6];ENSMUST00000131134.9 [Q64739-2];ENSMUST00000235819.2 [Q64739-4];ENSMUST00000237490.2 [Q64739-3];ENSMUST00000237989.2 [Q64739-7];
Q64FW2	Q64FW2;		ENSMUST00000070597.13;
Q64GA5	Q64GA5;		ENSMUST00000043612.10 [Q64GA5-1];ENSMUST00000108528.9 [Q64GA5-2];ENSMUST00000167232.8 [Q64GA5-2];
Q65CL1	Q65CL1;		ENSMUST00000075099.5;ENSMUST00000105440.8;ENSMUST00000105441.8;
Q65Z40	Q65Z40;		ENSMUST00000048263.14;ENSMUST00000169910.8;
Q66GT5	Q66GT5;	3RGO;3RGQ;	ENSMUST00000111461.13;
Q66JQ7	Q66JQ7;		ENSMUST00000028799.12 [Q66JQ7-2];ENSMUST00000028802.3 [Q66JQ7-1];ENSMUST00000099542.9 [Q66JQ7-1];
Q66JT0	Q66JT0;		ENSMUST00000038907.9;
Q66JT1	Q66JT1;		ENSMUST00000053035.7;
Q66JW3	Q66JW3;	2CO9;	ENSMUST00000039987.4 [Q66JW3-1];
Q66JY2	Q66JY2;		ENSMUST00000097718.10 [Q66JY2-3];ENSMUST00000133236.8 [Q66JY2-4];ENSMUST00000137511.9 [Q66JY2-3];ENSMUST00000153992.3 [Q66JY2-4];
Q66L44	Q66L44;		ENSMUST00000105369.8;ENSMUST00000170219.9;
Q66PY1	Q66PY1;		ENSMUST00000043503.11 [Q66PY1-1];ENSMUST00000132670.3 [Q66PY1-2];
Q66T02	Q66T02;		ENSMUST00000084115.4 [Q66T02-2];ENSMUST00000105661.10 [Q66T02-1];
Q66X05			
